id_prod;nome_produto;id_conc;cidade_produto;cep_produto;endereco_produto;estado_produto;data_produto;tipo_oferta;grande_area;sub_area;pubico_alvo;faixa_peco;duração;maturidade;100% Online;grande_area_legenda;sub_area_legenda;
1895;Fundamentos básicos para a criação de negócios;294;;;Florianópolis;SC;15/12/2021;1;5.0;5.2;1;Gratuito;19.0;1;Sim;estratégia;qual negócio entrar;
1896;Modelagem financeira para Startups;294;;;Florianópolis;SC;15/12/2021;1;1.0;1.1;1;Gratuito;2.0;1;Sim;financeiro;gestão financeira;
1910;MEG na avaliação da gestão de negócios;294;;;Florianópolis;SC;15/12/2021;1;4.0;4.1;1;Gratuito;12.0;1;Sim;produção;processo produtivo;
1923;Como analisar o mercado;294;;;Florianópolis;SC;15/12/2021;1;5.0;5.2;1;Gratuito;6.0;1;Sim;estratégia;qual negócio entrar;
1935;Up digital: Marketing;294;;;Florianópolis;SC;15/12/2021;6;2.0;2.7;1;Gratuito;8.0;1;Sim;mercado;marketing digital;
1945;Ganhe mercado com plano de marketing;294;;;Florianópolis;SC;15/12/2021;1;2.0;2.7;1;Gratuito;3.0;1;Sim;mercado;marketing digital;
1957;Patentes: tudo o que o empresário precisa saber;294;;;Florianópolis;SC;15/12/2021;1;6.0;6.2;1;Gratuito;3.0;1;Sim;legal jurídica;gestão jurídica;
1973;Sua empresa nas redes sociais;294;;;Florianópolis;SC;15/12/2021;1;3.0;3.5;1;Gratuito;3.0;1;Sim;pessoas;estratégia marketing;
1990;Sua Startup esta pronta para captar recursos?;294;;;Florianópolis;SC;30/12/2021;1;1.0;1.1;2;Gratuito;3.0;2;Sim;financeiro;gestão financeira;
2007;Design Thinking: Melhore seus resultados nas mídias sociais;294;;;Florianópolis;SC;30/12/2021;1;3.0;3.4;2;Gratuito;9.0;1;Sim;pessoas;liderança;
2021;Como definir preço de venda;294;;;Florianópolis;SC;30/12/2021;1;2.0;2.5;1;Gratuito;2.0;1;Sim;mercado;precificação;
2035;Marketing Digital - modulo 1;294;;;Florianópolis;SC;30/12/2021;1;2.0;2.7;2;Gratuito;1.0;1;Sim;mercado;marketing digital;
2048;Fluxo de caixa para pessoa juridica;294;;;Florianópolis;SC;30/12/2021;1;1.0;1.1;2;Gratuito;3.0;2;Sim;financeiro;gestão financeira;
2064;Formação do preço de venda;294;;;Florianópolis;SC;30/12/2021;1;2.0;2.5;2;Gratuito;8.0;2;Sim;mercado;precificação;
2076;Os segredos por trás de um instagram vendedor;294;;;Florianópolis;SC;30/12/2021;1;2.0;2.4;2;Gratuito;2.0;2;Sim;mercado;vendas;
2088;Responsabilidade social empresarial;294;;;Florianópolis;SC;30/12/2021;1;3.0;3.2;2;Gratuito;3.0;2;Sim;pessoas;treinamento;
2100;Simples Nacional;294;;;Florianópolis;SC;30/12/2021;1;1.0;1.1;1;Gratuito;3.0;1;Sim;financeiro;gestão financeira;
2116;Potencialize suas vendas entendendo a jornada do consumidor;294;;;Florianópolis;SC;30/12/2021;1;2.0;2.4;1;Gratuito;3.0;1;Sim;mercado;vendas;
2133;Planeje-se para o comércio eletronico;294;;;Florianópolis;SC;30/12/2021;1;5.0;5.4;1;Gratuito;3.0;1;Sim;estratégia;processos ti;
2150;Qualidade no atendimento ao cliente;294;;;Florianópolis;SC;30/12/2021;1;3.0;3.2;1;Gratuito;3.0;1;Sim;pessoas;treinamento;
2167;Recrutamento e seleção: Como formar o time vencedor;294;;;Florianópolis;SC;02/01/2022;1;3.0;3.1;2;Gratuito;3.0;1;Sim;pessoas;seleção;
2184;Receita de sucesso: equipe de atendimento;294;;;Florianópolis;SC;02/01/2022;1;2.0;2.3;2;Gratuito;3.0;1;Sim;mercado;equipe vendas;
2201;Quanto vale a minha empresa;294;;;Florianópolis;SC;02/01/2022;1;6.0;6.2;1;Gratuito;6.0;1;Sim;legal jurídica;gestão jurídica;
2218;Exportação: seu negocio cruzando fronteiras;294;;;Florianópolis;SC;02/01/2022;1;2.0;2.6;1;Gratuito;3.0;1;Sim;mercado;exportação novos mercados;
2233;Como ter ideias criativas e inovar na pratica;294;;;Florianópolis;SC;02/01/2022;1;3.0;3.2;2;Gratuito;1.0;1;Sim;pessoas;treinamento;
2249;Transforme sua ideia em modelo de negocio;294;;;Florianópolis;SC;02/01/2022;1;5.0;5.2;1;Gratuito;4.0;2;Sim;estratégia;qual negócio entrar;
2265;Mantendo o estoque em dia;294;;;Florianópolis;SC;02/01/2022;1;4.0;4.3;2;Gratuito;3.0;2;Sim;produção;gestão estoque;
2279;Mapeamento do fluxo de valor;294;;;Florianópolis;SC;02/01/2022;1;4.0;4.4;2;Gratuito;4.0;2;Sim;produção;produtividade;
2293;Líder Coach: Liderando para a alta performance;294;;;Florianópolis;SC;02/01/2022;1;3.0;3.4;2;Gratuito;16.0;2;Sim;pessoas;liderança;
2307;Educação financeira empresarial;294;;;Florianópolis;SC;02/01/2022;1;1.0;1.1;2;Gratuito;2.0;1;Sim;financeiro;gestão financeira;
2320;Microcrédito Consciente;294;;;Florianópolis;SC;02/01/2022;1;1.0;1.1;2;Gratuito;4.0;1;Sim;financeiro;gestão financeira;
2334;Estratégia financeira para o crescimento;294;;;Florianópolis;SC;02/01/2022;1;1.0;1.1;2;Gratuito;2.0;1;Sim;financeiro;gestão financeira;
