Código;;Site;Rua;CEP;Cidade;Estado;CNPJ;Data de início de atividade;
75;STUDIO PLANO CONSULTORIA;http://studioplanoconsultoria.com.br/;;;;RS;24.445.707/0001-70;22/03/2016;
76;EFICARE CONSULTORIA EMPRESARIAL;http://eficareconsultoria.com.br/;;;;RS;14.921.939/0001-01;17/01/2012;
77;HANNA CONSULT;https://www.hannaconsult.com.br/;;;;RS;32.026.662/0001-27;14/11/2018;
78;BMC - BUFFON MARTINS CONSULTORIA;https://www.bmcconsultoria.com.br/;;;;RS;36.379.443/0001-82;14/02/2020;
79;EXCELLENCE CONSULTANTS;https://www.excellence-consultants.com.br/consultoria;;;;RS;02.124.509/0001-71;12/08/1997;
80;CARLOS ESAU;https://www.carlosesaumentor.com/;;;;RS;10.824.337/0001-77;14/05/2009;
81;FORTUS;https://fortus.net/;;;;RS;08.790.429/0001-31;25/04/2007;
82;ESPINDOLA CONSULTORIA;https://www.espindolaconsultoria.com/;;;;RS;07.474.662/0001-42;06/07/2005;
83;KAPPER;https://kapper.com.br/;;;;RS;10.735.473/0001-90;31/03/2009;
84;ADRIANO MOLEIRO;https://www.adrianomoleiro.com.br/palestras_e_treinamentos;;;;PR;17.708.456/0001-03;01/03/2013;
85;AKONSULTING;http://www.akonsulting.com.br/;;;;PR;10.015.877/0001-00;16/05/2008;
86;AVERBA FÁCIL;https://averbafacil.com/;;;;PR;31.276.100/0001-79;20/08/2018;
87;PAXIS BUSINESS;https://praxisbusiness.com.br/;;;;PR;11.169.640/0001-46;11/09/2011;
88;ELEGE VALOR SUSTENTÁVEL ;http://www.elegevalorsustentavel.com.br/;;;;PR;23.931.256/0001-18;09/02/1988;
89;ATINGIR MAIS;https://atingirmais.com.br/;;;;PR;34.380.181/0001-40;31/07/2019;
90;RICOMANDER;https://ricomader.com.br/;;;;PR;Não encontrado;;
91;DMAIS SEGURANÇA;https://www.dmaisseguranca.com.br/;;;;AL;Não encontrado;;
92;GLOBAL RH SOLUTION;https://globalrhsolutions.com.br/cursos/;;;;AP;04.721.699/0001-30;10/05/2001;
93;PAIVA GESTÃO E SEGURANÇA;https://paivagestaoeseguranca.com.br/;;;;AM;35.634.627/0001-89;27/11/2019;
94;PAIGETCONSULTORIA;https://www.piagetconsultoria.com.br/;;;;AM;43.968.923/0001-44;21/10/2021;
